PropertyID,BHKs,FloorArea,Bathrooms,Type_of_Sale,Furnishing_Status,Locality,Price_in_Lacs,Property_URL,Image_URL,Posted_On,Last_Modified_On
24885041,1,500,1,New,Unfurnished,Dhakuria,25,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarat-Ghosh-Garden-in-Kolkata-r5&id=4d423234383835303431,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Feb/02/Photo_h180_w240/24885041_1_rps20170129_162446_180_240.jpg,"Apr 30, '18",35:50.4
33802865,1,570,2,Resale,Unfurnished,Dhakuria,25,https://www.magicbricks.com/propertyDetails/1-BHK-570-Sq-ft-Multistorey-Apartment-FOR-Sale-Selimpur-in-Kolkata&id=4d423333383032383635,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/17/Photo_h180_w240/33802865_1_PropertyImage302-3959452941523_180_240.jpg,"Apr 17, '18",35:50.5
31922815,1,476,1,Resale,Unfurnished,Dhakuria,18,https://www.magicbricks.com/propertyDetails/1-BHK-476-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423331393232383135,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Jan/20/Photo_h180_w240/31922815_1_BEDROOM_180_240.JPG,"Jan 20, '18",35:50.6
33838245,1,550,1,Resale,Furnished,Dhakuria,20,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Selimpur-in-Kolkata&id=4d423333383338323435,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Mar/15/Photo_h180_w240/25692697_6_rps20170315_091803_180_240.jpg,"Apr 18, '18",35:50.7
25692697,1,475,1,New,Unfurnished,Dhakuria,26.7,https://www.magicbricks.com/propertyDetails/1-BHK-475-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarat-Ghosh-Garden-in-Kolkata-r2&id=4d423235363932363937,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/07/Photo_h180_w240/33623845_8_rps20170208_094225_180_240.jpg,"Apr 06, '18",35:50.8
32093359,1,650,2,New,Unfurnished,Dhakuria,25,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria-in-Kolkata-r1&id=4d423332303933333539,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Jul/13/Photo_h180_w240/27073287_10_mamtacopy_180_240.jpg,"Mar 28, '18",35:50.9
33161731,1,1200,2,Resale,Furnished,Dhakuria,100,https://www.magicbricks.com/propertyDetails/1-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Sale-South-End-Park-in-Kolkata&id=4d423333313631373331,https://img.staticmb.com/mbphoto/property/cropped_images/2016/Dec/06/Photo_h180_w240/15316015_10_BBCHATTERJEE02_180_240.jpg,"Mar 17, '18",35:51.0
31719935,1,400,1,Resale,Semi-Furnished,Dhakuria,19,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423331373139393335,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/07/Photo_h180_w240/32948253_6_19752974_6_17051465_17_MamataEnclave50k_180_240.jpg,"Jan 07, '18",35:51.1
31786579,1,340,1,Resale,Unfurnished,Dhakuria,16,https://www.magicbricks.com/propertyDetails/1-BHK-340-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423331373836353739,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/27/Photo_h180_w240/34003299_2_PropertyImage309-86189082426074_180_240.jpg,"Jan 10, '18",35:51.2
32589103,1,200,2,Resale,Furnished,Dhakuria,100,https://www.magicbricks.com/propertyDetails/1-BHK-200-Sq-ft-Multistorey-Apartment-FOR-Sale-South-End-Park-in-Kolkata&id=4d423332353839313033,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Nov/08/Photo_h180_w240/20933317_6_PropertyImage282-75965910348435_180_240.jpg,"Feb 17, '18",35:51.3
32000539,1,480,1,Resale,Semi-Furnished,Dhakuria,22,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Residential-House-FOR-Sale-Dhakuria--South-East-in-Kolkata&id=4d423332303030353339,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Feb/15/Photo_h180_w240/27145869_9_BBCHATTERJEE02_180_240.jpg,21st Jan,35:51.4
31922817,1,476,1,Resale,Unfurnished,Dhakuria,18,https://www.magicbricks.com/propertyDetails/1-BHK-476-Sq-ft-Residential-House-FOR-Sale-Dhakuria-in-Kolkata&id=4d423331393232383137,https://img.staticmb.com/mbphoto/property/cropped_images/2016/Mar/12/Photo_h180_w240/17051465_17_MamataEnclave50k_180_240.jpg,17th Jan,35:51.5
27073287,1,450,1,New,Unfurnished,Ballygunge,27.9,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata-r1&id=4d423237303733323837,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Master-Plan-21-Mamta-Enclave-Kolkata-5071364_1280_960_310_462.JPEG,30th Apr,35:52.0
15316015,1,420,1,New,Unfurnished,Ballygunge,27.3,https://www.magicbricks.com/propertyDetails/1-BHK-420-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata-r2&id=4d423135333136303135,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Oct/07/Photo_h180_w240/29898315_6_1507357198170-4_180_240.jpg,30th Apr,35:52.1
33025707,2,1150,2,Resale,Unfurnished,Dhakuria,85,https://www.magicbricks.com/propertyDetails/2-BHK-1150-Sq-ft-Multistorey-Apartment-FOR-Sale-Rabindra-Sarobar-Area-in-Kolkata&id=4d423333303235373037,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/06/Photo_h180_w240/33025707_1_PropertyImage01523002106666_180_240.jpg,"May 03, '18",35:54.0
33706303,2,980,2,New,Unfurnished,Dhakuria,51,https://www.magicbricks.com/propertyDetails/2-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423333373036333033,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/12/Photo_h180_w240/33706303_3_copy_180_240.jpg,"May 06, '18",35:54.1
33577245,2,755,2,Resale,Unfurnished,Dhakuria,32,https://www.magicbricks.com/propertyDetails/2-BHK-755-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423333353737323435,https://img.staticmb.com/mbphoto/property/cropped_images/2018/May/04/Photo_h180_w240/33577245_9_PropertyImage802-3528167213433_180_240.jpg,"May 05, '18",35:54.2
18576366,2,700,2,New,Semi-Furnished,Dhakuria,33.6,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Selimpur-in-Kolkata-r1&id=4d423138353736333636,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Mar/23/Photo_h180_w240/18576366_1_PropertyImage01490253373698_180_240.jpg,"Apr 20, '18",35:54.3
32048079,2,1020,2,Resale,Unfurnished,Dhakuria,65,https://www.magicbricks.com/propertyDetails/2-BHK-1020-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria-in-Kolkata&id=4d423332303438303739,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Feb/22/Photo_h180_w240/32048079_2_PropertyImage01519291456889_180_240.jpg,"Apr 07, '18",35:54.4
29508387,2,1140,2,Resale,Semi-Furnished,Dhakuria,150,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Rabindra-Sarobar-Area-in-Kolkata&id=4d423239353038333837,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Dec/04/Photo_h180_w240/29508387_1_PropertyImage01512366284979_180_240.jpg,"Apr 24, '18",35:54.5
29047691,2,720,1,New,Unfurnished,Dhakuria,45,https://www.magicbricks.com/propertyDetails/2-BHK-720-Sq-ft-Multistorey-Apartment-FOR-Sale-Babu-Bagan-in-Kolkata&id=4d423239303437363931,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Aug/25/Photo_h180_w240/29047691_3_Floor1st_180_240.jpg,"May 03, '18",35:54.6
34065567,2,800,2,New,Unfurnished,Dhakuria,43,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Dhakuria--South-East-in-Kolkata&id=4d423334303635353637,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/30/Photo_h180_w240/34065567_5_1511937226937_180_240.jpg,"Apr 30, '18",35:54.7
